location,other_location_details,size,bedrooms,bathrooms,price,property_type,purchase_type,source,beds,baths,toilets
Karen,Karen,2400.0,4.0,2.0,73000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Oloolua,Karen,2400.0,6.0,7.0,100000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Daroda,Watamu,2400.0,5.0,5.0,420000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,7.0,170000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
yukos,Kitengela,2400.0,3.0,3.0,8500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,5.0,25000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Off Convent Drive,Lavington,2400.0,4.0,5.0,70000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,2.0,120000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Chuna Estate,Kitengela,2400.0,4.0,5.0,25000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,5.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ruiru,Ruiru,2400.0,3.0,3.0,7000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru Road,"Kitisuru, Westlands",2400.0,5.0,5.0,120000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,5.0,6.0,150000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Court C,"Edenville Two, Kiambu Road",2400.0,3.0,2.0,23000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
La-marina Estate,Mtwapa,2400.0,3.0,4.0,38500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Miotoni,Karen,2400.0,9.0,10.0,400000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,6.0,6.0,87000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ruiru,Ruiru,3200.0,3.0,4.0,9700000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,5.0,60000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Bofa road,Kilifi,2400.0,3.0,2.0,25000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Machakos County,Machakos County,2400.0,4.0,4.0,22500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Loresho,Westlands,2400.0,4.0,5.0,150000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Thika Road,Thika Road,2400.0,5.0,5.0,60000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
2,"Off Runda Rd, Runda, Westlands",2400.0,2.0,3.0,63000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu road,Kiambu Road,2400.0,3.0,2.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Mombasa Road,Mombasa Road,2400.0,4.0,5.0,27000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Redhill,Redhill,2400.0,4.0,4.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,3.0,8500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Thika Road,Thika Road,2400.0,4.0,5.0,16000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Spine Road,"Nairobi, Komarock",2400.0,3.0,2.0,18500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru,Westlands,2400.0,4.0,4.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,5.0,6.0,16500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,2.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Bamburi,Bamburi mtambo Mombasa,1972.0,4.0,3.0,14000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,3.0,3.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,4.0,13000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,4.0,5.0,18000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,3.0,3.0,9500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,3.0,2.0,6000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,5.0,70000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,5.0,82000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
MIOTONI,Karen,2400.0,7.0,8.0,500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,4.0,29500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,4.0,25000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Malindi,Malindi,2400.0,4.0,4.0,55000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ongata Rongai,Ongata Rongai,2400.0,4.0,5.0,15000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
